Comentarios,Clas
"Supuestamente estaba incluido el estacionamiento o parqueo. y no era cierto: cobraron 45,000cop por día. Luego no había ni jabón ni shampoo en el baño. lo solicite a recepción y tardaron 5horas en llevarlo a la habitación. De igual forma solicité una manta o cobija extra por el frío. Lo hice en persona en la recepción y me dijeron que en 10min la subían a la habitación y no lo hicieron hasta después de 24horas. Y el desayuno versión kids o para niños, muy poquito todo. En fin, no volveré a alojarme más allí.",Negativos
"mucho ruido. 
se enciende la luz del pasillo y da a los cuartos 
 bastante eco se escucha lo que hablan en la recepción así estes en el tercer piso.",Negativos
"Lo que describo a continuación es el motivo de mi calificación baja: aunque el edificio esta muy bien ubicado, la habitación no tiene Ventanas Insonorizadas y el ruido que llega de la calle es TERRIBLE, especialmente los fines de semana (mi estadía fue un Viernes), por lo tanto no pudimos descansar mucho. La atención para recibir la habitación es un poco demorada. El colchón de la cama es muy blando",Negativos
"Que la Ducha no tuviera puerta, y esto hacia inundar el Baño y la Habitación",Negativos
"Mala atención en alimentación y no ofrecieron botonea para bajar el equipaje lo cual para ser un hotel de esta categoría y en la ubicación en la que se encuentra no es nada positivo. 
Deberían tenerlo en los filtros
Y muy poco personal tanto en cocina como en general en el hotel para ser fin de semana 
Nos dejaron esperando 40 minutos el desayuno y dijeron que fueron pero nunca escuchamos ni tampoco llamaron. Con la excusa de que había poco personal.",Negativos
"Me dieron un precio en la app de Booking era un precio de 117 mil cuando llegue le cobraron 150 mil pesos , es publicidad engañosa te inventan sobre costos incluso querían cobrarme 190 mil pero que estaban en precio especial",Negativos
Atención e incumplimiento de lo prometido en el momento de la reserva,Negativos
"pésimas las almohadas para ser de un hotel, muy pequeñas y de mala calidad para dormir y la habitación muy básica",Negativos
"Rooms were very small, its right on a busy street so it's noisy when there's traffic. The interior is cold and you need to wear a jacket or sweater all the time, The hotel needs central heating.",Negativos
No tenia parqueadero y fui a dejar la moto y me dijeron que no porque llegaban los dueños,Negativos
"El Desayuno te lo llevan al cuarto, pero sin cubiertos, no los conocen no saben que es una cuchara y un tenedor, y los pides y nunca llegan, además de que el desayuno no es agradable, el parqueadero es una agonía, funciona con un ascensor para el vehículo pero cuando fui se encontraba a medio funcionar, así que tú sentías que te ibas al vacío, ya estando en los sótanos de parqueo es su per incomodo por que el hotel le hicieron refuerzo estructural y está lleno de columnatas, las cuales tienes que tener 20 ojos para no ir a pegarle al carro con las mismas, están todas marcadas con huellas de carros, si usted va solo y sin carro sería una mediana opción para utilizar este hotel, si tiene familia busque otro.",Negativos
"Me cobraron una cuenta carísima de algo que no consumí, no entregan inventarios de lo que dejan en la habitación",Negativos
"El bufet
Los baños de la recepción muy sucios
Muy costoso el restaurante",Negativos
"A la hora de la reserva no fue tomada en cuenta mi observación o solicitud puesta en Booking sobre la cama, por temas de salud.",Negativos
"El baño en el lado de la ducha no estaba lo suficientemente limpio. 
y teniendo en cuenta el clima de Bogotá es importante una cobija.",Negativos
"Muy mal aseo , muy mal Educada la gente que prestaba el servicio , los baños no se veían limpios , las sábanas de la cama se veían sucias , el baño no vaseaba bien .",Negativos
"Subimos al bar y nos sacaron porque no tomábamos alcohol. Sería normal, si el bar no fuera un servicio que ofrece el hotel. Lo peor, a las 3 de la mañana se activó la alarma contra incendios y se demoraron una hora en apagarla.",Negativos
"Recibieron el pago con tarjeta pero con recargo, hay mucho ruido en la zona. Las almohadaz tienen forros plásticos muy incómodos y ruidoso, solo nos dieron una toalla y un solo jabon.",Negativos
"Las personas que atienden en las mañanas en la cafetería fueron muy descorteses a la hora del desayuno, se la pasan hablando y no atienden bien a las personas, son groseras, lo hacen todo de mala gana, muy mal servicio",Negativos
"la suite queda en el sexto piso y fue muy incomodo que en ese mismo piso está la terraza y parece que había una reunión de los mismos empleados del hotel, así que tenían música a todo volumen, reían muy fuerte, tiraban las puertas, el cuarto de ropas está en el mismo piso y realmente no pudimos descansar. Cuando les solicité bajar el volumen fue muy notorio su malestar; le bajaban por un rato y volvía el escándalo. lastimosamente No es un lugar para descansar.",Negativos
Movieron la ropa cuando estaba en el balcón a secar y no colaborar conmigo con el checkout,Negativos
"Me dijeron que no tenían desayunos porque no habían mercado, me pareció una respuesta no válida",Negativos
"La ubicación de la habitación. pésima idea poner habitaciones que queden tan cerca a un ascensor, jamás lo había visto,",Negativos
aguante frío! las cobijas no son adecuadas al clima en la noche. en las habitaciones grandes hace más frío.,Negativos
"La cama de la habitación estaba dañada y era sumamente incómoda.

El personal no era amable, solo la persona de servicio del restaurante. 

El baño no estaba limpio.",Negativos
"La falta de información Al momento de ingresar, como horas del desayuno, etc.
De igual manera, cuando adquirí la habitación la descripciones eran otras",Negativos
"No me gusto que al momento de llegar le indique al señor de recepcion que necesitaba retencion en la fuente en mi factura pues la compañia me lo exige y me respondio de mala manera que ellos no hacian eso, la actitud fatal",Negativos
"Alquilé con baño privado, pero el baño estaba en el pasillo, puede que solo lo utilizaríamos nosotros, pero es incómodo salir al pasillo",Negativos
"el servicio de restaurante lo cierran muy temprano. al igual que el desayuno lo abren muy tarde. Los baños son muy estrechos, no hay tollas disponibles y tampoco donde colgar y colocar los objetos personales.",Negativos
"To start, the lobby had an extremely strong smell of chemical plugins throughout that was so strong my wife could not stand in the lobby area and had to step outside. These fumes are very toxic to employees especially and the hotel should consider natural scent options. 

The hotel has thin walls and it is very noisy. There are mechanical noises that can be heard from the room that disrupts sleep and whenever another tenant turns on their bathroom water the noise is also very loud.",Negativos
"No tiene acceso a habitaciones para personas con discapacidad, pues solo hay escaleras pars ir a las habitaciones del primer piso",Negativos
"La habitaciones se escucha mucho ruido , el ruido de la discoteca del lado, las personas de la habitacion del lado, las luces de la calle todo es demasiado incomodo para personas que quieren descansar, la cama las almohadas hubo cosas que no fueron agradables para mi.",Negativos
"A pesar del aseo q hacen para entregar la habitación, las sábanas estaban con algunas pequeñas manchas. El lavamanos tenía goteos de agua.",Negativos
"- Sin wifi.
- Los baños con pelos de mujer
- La ubicación de la pieza terrible, al lado de toda buya del bar o del restaurante
- Estan haciendo reparaciones un horas de madrugada.
-La habitación al lado de la recepción llegaban los huéspedes borrachos haciendo buya.
Si fuera de turista no tendría problema pero sinceramente no pude dormir ni mird@.",Negativos
"El baño, le falta mantenimiento. Y la habitación no es muy ventilada.",Negativos
"Las sábanas de las camas estaban sucias, pedí cambio, y me cambiaron de habitación pero la sábanas de la nueva cama estaban peor de sucias, percudidas y viejas, el desayuno es poco y hacen mucho ruido en la noche. El baño también estaba sucio",Negativos
"Manchas en las sabanas, olor a humedad, falta de ventilacion, goteras en el baño, ducha electrica muy vieja y difícil de regular el agua caliente.",Negativos
"Hay una discoteca justo en la parte de atrás del hotel y hacia allá dan varias de las habitaciones (la que yo estuve, en todo caso) y hubo música a muy alto volumen hasta muy tarde.",Negativos
"La habitación estaba cómoda, pero el baño le falta mejores condiciones.

El descanso estuvo interrumpido, porque los huéspedes de otra habitación hicieron mucho ruido, excesivo.",Negativos
"La puerta del baño no cerraba
Dijeron que el desayuno se servía a las 6:00 am. Pero no fue así
El parqueadero es sólo para cuatro autos y es el anden del hotel por lo que es inseguro",Negativos
"La llave del lavamanos se caía, tapado el lavamanos, creo que falta de mantenimiento, el personal de servicio hacia mucho ruido, hablaba mucho, no pude dormir hasta tarde, estaba trasnochada.",Negativos
"No pude dormir, había mucha personas hablando y riéndose se escuchaba todo en mi habitación, a la hora de tomar baño no había agua caliente y tenía un niño debía salir madrugado y no se pudo bañar.",Negativos
"Could not pay with credit card online, even tho credit card was saved with reservation, so my guest was force to pay the bill, very poor service from staff, will never use this hotel again.",Negativos
"Las cobijas eran súper viejas, casi no brindan calor, la hija de la señora siempre mantenía todo en desorden y además hay dos gatos. Información que no se brinda aquí, entonces nos tomó por sorpresa y pues no nos gustan los animales en las casas.",Negativos
"El lugar estaba sucio, no tenía cobijas suficientes para el frío de la ciudad, las toallas estaban sucias y olían mal, si se prendía la luz de la entrada también se prendía la de la habitación lo cual incomodaba, estaba en construcción el edificio y en la descripción no decía eso, el ruido era durante toda la noche y muy a las 6 am inician procesos de construcción y música, pésimo servicio escribí al encargado que quedó de llevarme cobijas y nunca llegó y también a solicitar cambio de habitación y tampoco llegó.",Negativos
"La calidad del desayuno ha bajado, el chocolate solo agua, el jugo agrio y fermentado, y la porción de huevos muy pequeña, se pudieron omelette y no tenían nada de omelette",Negativos
"La cama muy pequeña, adaptada con fomy, baño con olor un poco desagradable.",Negativos
"Las almohadas, la verdad parecían más de esas que pone en un sofá para decorar que unas almohadas aptas para dormir",Negativos
"Los desayunos muy poca cantidad, y muy básicos, el chocolate tenía 3 Oz muy pequeño 
Demasiado ruido por los pasillos y recepción de otros huéspedes sin que el personal hiciera nada por eso. 
Las toallas viejas y decoloradas por e Clorox. Colchón incómodo 
Los jabones de baño regulares y el papel higiénico de no muy buena calidad",Negativos
Que no tienen en cuenta la reserva y casi me quedo es en la calle,Negativos
"La habitación no tenía aire acondicionado y solo una ventana, se encierra mucho el calor",Negativos
"la habitación que me dieron parecía una lata de sardinas, nada que ver a la descripción de la foto.
no tenía ni una silla para colocar el maletín, tocaba en el suelo o encima de la cama, que por cierto era cama sencilla 
se quedó sin agua caliente y medio organizaron el servicio, porque duró 20 min bueno.
en la recepción en las noches se la pasan hablando y riéndose super duro, suben bajan Escalas y se siente todo el ruido, no dejan descansar.
el switch de la luz, el tel no quedan al alcance.
me gustan mucho los animales pero hubo un perrito que no dejó dormir la primera noche ladrando
yo ya estaba dormida porque necesitaba madrugar y después de dormida llamando a la habitación para que viera si había agua caliente de igual manera al día siguiente el servicio estaba malo, tocó bañarme con agua fría, hacerme lavar y cepillar el cabello en una peluquería.
no tienen datáfono
no se puede pagar con tarjeta de crédito",Negativos
"Cuando realizo el pago de la reserva, un señor que acompañaba al de recepción le pregunta !que porque pagaba ese valor por la habitación! Le contesta el de recepción fue fulano ésta mañana que montó el precio por booking, es un momento incómodo en fin.... la habitación no estaba limpia una de las luces del techo colgaba",Negativos
personal de aseo hacía mucho ruido (musica) y se encontraba todo lo de aseo (toallas usadas) tirado en los pasillos mucho desorden,Negativos
"Desayuno estuvo bien, la pieza era muy fría y con un olor fuerte a humedad, algunas maderas del piso estan rotas. La ducha tenía poca agua y no era tan caliente. Se pueden mejorar estos aspectos. El desayuno era muy poco, se podía complementar con algo mas, una arepa mediana con queso, o algo así.",Negativos
"- No se me respetó la habitación reservada por la aplicación 
- No me dieron ninguna solución a mi dificultad
- Se informa de una fuga de agua en la ducha, la cula moja gran parte del baño
- El encedido de luz del baño y del extractor de olores deberian ser independientes",Negativos
"Se paga un valor por una suite de 2 ambientes, pero lo que el hotel no informa es que ellos pueden dar una de un solo ambiente muy similar a una habitación standard....",Negativos
"el ruido de los huéspedes era horrible, el personal del hostal, por mas que fuera amable no tuvo ningún reparo en pedir silencio a los demás huéspedes. fue difícil descansar.",Negativos
Cancele la reserva porq cuando llegue al lugar me doy cuenta q es una zona muy oscura y sola como peligrosa grafitis en el parque y la fachada del hotel no se veía bien así que para el costo de la habitación y la ubicación del hotel no era acorde,Negativos
"realmente la relación precio - calidad no es la mejor. por el precio creo que se puede mejorar. en la recepción es muy poca o nula la información que brindan sobre los servicios del hotel. en la habitación el
mini bar estaba vacío, no había ni siquiera agua para preparar el café. en la mañana durante el desayuno tipo bufet el servicio pésimo, la fruta estaba dañado y debes pedir el principal (huevos) para que te los lleven a la mesa. nunca llegaron. en general no es un mal
hotel. pero pueden mejorar mucho más.",Negativos
"Too dark, lot of weird noise inside the walls, the bed was not comfortable",Negativos
"No nos dieron cobijas, las almohadas son muy delgadas, el TV no tenía señal, la nevera no tenía en dónde conectarse, el agua de la regadera sale muy caliente y podía graduarse",Negativos
Pasan en la mañana golpeando las puertas para ofrecer agua y toallas. Si necesitas descansar ni olvides dejar la tarjeta de no molestar,Negativos
"No tienen el servicio de streaming, todos los cuartos tienen solo Television de Claro regular, tampoco ofrecieron ni dieron el desayuno que aparecía ""supuestamente"" daban.",Negativos
"no había agua caliente, la ubicación es mala, costoso para la ubicación",Negativos
"Las sábanas estaban manchadas y rota afortunadamente una de las recepcionistas pudo conseguir una en mejor estado.

Deberían invertir en nuevas sábanas, almohadas ya que están manchadas.",Negativos
"la cama
los elementos de aseo personal
el desayuno
el colchon de la cama es muy viejo y es un peligro para la salud, creo que hace rato cumplio su ciclo de vida
la cuenta no fue clara, cobran un valor adicional que hace subir el precio
por el precio que pague al final, hubiera podido conseguir un hotel mas confortable y de mejor presentacion de las habitaciones",Negativos
No había papel higiénico que es algo basico y en ocasiones anteriores si lo colocaban como también el jabón,Negativos
"La habitación que me asignaron, ademas de estrecha tenia un colchón insoportable que no me dejo dormir estaba con huecos, me queje en la administración pero me dijeron que las habitaciones estaban copadas por el concierto de Karol G , total me toco la misma incomodidad 2 días.",Negativos
La mala atención y falta de empatía de la administradora con clientes fieles del hotel.,Negativos
"La actitud de algunas personas del equipo, poco resolutivos frente a solicitudes. Parecen tener miedo de actuar, parecen estar asustados o bajo reglas laborales poco flexibles, bajo presión laboral permanente.",Negativos
"La atención al huésped, no cumple con el servicio de parqueadero que ofrece en el anuncio.",Negativos
"AUN SIGO ESPERANDO LA FACTURA DEL PAGO DEL ALOJAMIENTO. LA HE SOLICITADO EN DOS OCACIONES Y DICEN QUE LA ENVIARÁN Y NADA.
QUE POR ENTREGAR LA HABITACIÓN ANTES DEL INGRESO COBREN UN DINERO EXTRA. OTROS HOTELES LO HACEN SIN COBRAR.",Negativos
"It would be good to offer some easy food and beverages after the breakfast time (i.e. Coffee, snacks)",Negativos
"La atención del personal en recepción no fue la mejor, llame varías veces y me colgaban la llamada, al llegar al hotel no se vio interés del personal en recibir al huésped, llame varias veces para que por favor me abrieran el
Parqueadero, al día siguiente pedí orientación pero la respuesta de todos fue no conozco bogota, se le pregunto a un funcionario del hotel (señor blanco de cabello claro) que estaba recepción sobre las 7 am y no contestó ni él buenos días.",Negativos
"Las habitaciones NO tienen espacios para trabajar cómodamente, sin mesas o espacios adaptados para trabajar.
Solicitamos al personal una mesa y nunca hubo respuesta, 4 noches y no logramos tener respuesta!",Negativos
que lo clasifiquen como establecimiento con parqueadero y la verdad es que no tiene y el qué hay a tres cuadras queda muy lejos para salir en la madrugada también que no cuente con agua caliente y en la noche mucho ruido se escucha lo que habla en las otras acotaciones,Negativos
hora del check out. mi ingreso fue a las 10 p.m. y ya a las 12 p.m. tuve que salir,Negativos
No cambiaron las toallas muy a pesar de que se solicitó cambio de toallas,Negativos
"Nos tuvimos que camiar de habitación 2 veces, el baño de la 1era habitación olía a alcantarillado, el inodoro de la 2da habitación estaba dañado. Los pasillos huelen a humedad. La habitación tiene cocina, pero no tiene ningún utensilio (tuvimos que pedirlos, y no estaban completos). Las planchas para ropa estaban en un pauperrimo estado, no la pude usar. La falta de personal es evidente.",Negativos
"La habitacion olia a cigarrillo, las cobijas estaban sin lavar y cuando pedimos cambio nos dieron una cobija mojada que olia muy feo, era la unica disponible.",Negativos
"El precio no incluye iva, dieron habitacion diferente a la que se haia reservado, habitacion pequeña, fea e incomoda, no hay como llamar a la recepcion desde la habitación, el tv no sirve, el baño demasiado pequeño y no salia agua caliente",Negativos
"La cocina estaba muy sucia. La habitación olía fatal. Había un cabello sobre la sábana cuando llegué, o sea que no limpiaron. La cobija era absurdamente pequeña. Cobraban a $8000 el uso de una toalla. Las ""escaleras"" para subir a mi colchón eran inseguras e inapropiadas. Mi cubículo tenía una ventana que daba a un patio interno y no tenía cortina por lo que cualquier persona podía verme dormir y entraba luz. Los casilleros son muy pequeños, no cabe una mochila de viajero y hay que llevar un candado (no vi esa información al reservar en booking) y lo más importante es que hace algo que estoy casi completamente segura que es ilegal, aún siendo colombiana, me exigieron mi pasaporte para poderme hospedar y le tomaron foto a mi pasaporte; cuando pregunté por qué, solo dijo la recepcionista (muy poco amable además) que era política del lugar, que no me podía hospedar sin mi pasaporte.",Negativos
No tienen código QR ni cuenta bancaria para transferir terrible el cajero más cercano de Bancolombia 5 cuadras,Negativos
"Deberían actualizar los precios de horas extras, ya que uno de ajustes a lo que estaba escrito. Es pruebe hacerlo pues se puede considerar como publicidad engañosa. Es lo único.",Negativos
"Nos demoraron 1 hora en entregarnos la habitación. El piso debajo de la cama estaba muy sucio.
El jacuzzi solo lo dejaban utilizar 20 minutos al día",Negativos
"SOLICITE UN CHECK OUT PARA LA 1 PM, PERO LA SRTA EN LA RECPCION ME INFORMO QUE TENDRIA QUE SALIR A MAS TARDAR LAS 12 DEL MEDIO DIA. CONSIDERO QUE PODRIAN SER UN POCO MAS FLEXIBLES",Negativos
çok para konuşuluyordu.sürekli olarak bir şeyler içip içmediğimizle ilgili soru soruldu.,Negativos
"Camas duras, el servicio del personal fatal, no hacen caso ni ayudan con las solicitudes",Negativos
La habitación daba a la avenida y el ruido de los vehículos no dejaba dormir. El personal de recepción poco amable y mal geniado . Los desayunos poco variados y no incluidos. La habitación pequeña.,Negativos
En la reserva incluye desayuno y me dijeron q no iba incluido que tenía que cancelar por aparte,Negativos
"No tenían desayuno a la hora que mencionan, el costo dado en la página era diferente, no hubo agua caliente, según ellos por qué el calentador se dañó.",Negativos
La actitud y trato de los dueños hacia los huéspedes. Fueron groseros y trataron de aprovecharse de nosotros desde que llegamos. No recomiendo este sitio en absoluto.,Negativos
"Mejorar los baños. La llave del lavamanos muy dura. Al principio pensé que no funcionaba, Le falta remodelar y actualizar. Los baños muy antiguos.",Negativos
"la verdad no nos gusto la ventilacion del cuarto, en el ultimo piso al amanecer pega muy duro el sol, y sin blackout en el cuarto comienza a hacer mucho calor ya que la cortina es más para el frio, el cuarto es muy bonito es agradable y confortable pero eso hace que uno no pueda descar muy bien estando de vacaciones.",Negativos
"La atención pésima de la mayoría de empleados, en especial el restaurante del primer piso.

La sábanas estaban sucias con manchas amarillas 
No tenía cobija, me tocó solicitarla y me enviaron una muy delgada, pase una mala noche con mucho frío.

Tiene un ambiente inseguro y libertino, no se acomoda a un ambiente familiar y formal.",Negativos
Todos los muebles viejos y en mal estado. El inmueble viejo y acabado.,Negativos
"La comida hasquerosa
Muy regular las habitaciones 
Mucha bulla",Negativos
